complaint_text,crime_category
A person is selling leaked exam papers and answer keys online. This is affecting the education system.,Social Media Scam
"Data Entry Prepares source data for computer entry by compiling and sorting information; establishing entry priorities. •Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution. •Enters customer and account data by inputting alphabetic and numeric information on keyboard or optical scanner according to screen format. •Maintains data entry requirements by following data program techniques and procedures. •Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data; combining data from both systems when account information is incomplete; purging files to eliminate duplication of d Tests customer and account system changes and upgrades by inputting new data; reviewing output. •Secures information by completing data base backups. Maintains operations by following policies and procedures; reporting needed changes. •Maintains customer confidence and protects operations by keeping information confidential. •Contributes to team effort by accomplishing related results as needed.",Job/Employment Scam
"CSPDCL Alert: Dear Customer, Your power supply will be cut off tonight at 10:30 PM. Call MSEB officer [Number].",Phishing
Got a call from fake Paytm support asking me to share my UPI PIN to resolve an issue. They stole ₹15000 from my account.,UPI Fraud
Someone cloned my credit card and made purchases worth ₹20000. I discovered this when I received OTP messages for transactions I didn't do.,Financial Fraud
I was selling my scooter online. The buyer sent a fake UPI screenshot showing payment of ₹15000. I shipped the item but never received the money.,UPI Fraud
URGENT: Notification: Pending traffic challan found. Use the Parivahan lookalike portal to clear dues.,Phishing
"WARNING: Congratulations! You won 50,000 cashback. Click here to claim directly to your bank account.",Financial Fraud
"Dear user, your income tax return for AY 2024-25 shows a discrepancy. Resolve here: [Link] Failure to respond will result in account suspension.",Phishing
Discovered a group sharing pirated movies and software illegally. My copyrighted content is also being distributed there.,Social Media Scam
"Income Tax Dept: Refund of Rs 18,430 for AY 2024-25 has been credited to your bank A/c ending 7823 on 12-Apr-2025. Status at incometax.gov.in. No action needed from your side.",Financial Fraud
"WARNING: Boost your income! Participate in our survey and earn Rs 2,000 daily. Sign up here: [Link] Failure to respond will result in account suspension.",Job/Employment Scam
Received credit card from Canara Bank which I never applied for. Someone used my identity to get the card and spent ₹15000.,Financial Fraud
Federal Police: Your social media account is used for illegal activity. You are under arrest. Ignore at your own risk.,Financial Fraud
"Hello, I represent Glassdoor. We have an urgent requirement for social media managers. Apply here.",Job/Employment Scam
Kotak reward: 5000 points converted to Rs 500 cashback. Share OTP to credit instantly. Points expire at midnight.,UPI Fraud
"Administrative Assistant Administrative Assistant provides personal administrative support and assistance to executive staff. Main Job Tasks and Responsibilities: Prepare and edit correspondence, communications, presentations and other documents Design and maintain databases File and retrieve documents and reference materials Conduct research, collect and analyse data to prepare reports and documents Manage and maintain executives' schedules, appointments and travel arrangements Arrange and co-ordinate meetings and events Record, transcribe and distribute minutes of meetings Monitor, screen, respond to and distribute incoming communications Answer and manage incoming calls Receive and interact with incoming visitors Liaise with internal staff at all levels Interact with external clients Co-ordinate project-based work Review operating practices and implement improvements where necessary Supervise, coach and train lower level staff",Job/Employment Scam
Amazon Pay: You have won a cashback of Rs 10 Lakhs. Click to claim into your bank account.,Financial Fraud
Scan this QR code to pay your traffic fine immediately and get a 50% discount. Do not delay.,Phishing
URGENT: Your electricity bill status: Unpaid. Power will be cut at 10:30 PM today. Update now on WhatsApp.,Phishing
Someone created a fake profile using my name and photos on Facebook. They're posting inappropriate content damaging my reputation.,Social Media Scam
